,itemID,size,color,manufacturerID,price,customerID,salutation,state,deliveryTime,ageOfAccountUntilTimeOfOrder,age,returnShipment
0,2294.0,107.0,49.0,2.0,16.9,16372.0,3.0,7.0,-1,304,52,0
1,1707.0,55.0,22.0,37.0,159.9,23388.0,3.0,0.0,6,575,42,0
2,32.0,114.0,78.0,4.0,59.9,20736.0,3.0,0.0,-1,490,62,0
3,13.0,55.0,22.0,0.0,129.9,10292.0,3.0,0.0,-1,75,68,0
4,366.0,118.0,22.0,4.0,34.9,4134.0,3.0,6.0,-1,80,40,0
5,262.0,74.0,42.0,5.0,79.9,14734.0,3.0,9.0,2,99,58,0
6,2427.0,112.0,50.0,1.0,49.9,2399.0,3.0,0.0,-1,72,58,0
7,2327.0,110.0,76.0,2.0,49.9,34309.0,3.0,1.0,-1,117,48,0
8,2393.0,107.0,17.0,19.0,49.9,46599.0,3.0,5.0,15,0,-1,0
9,571.0,118.0,50.0,2.0,19.9,13231.0,3.0,9.0,4,499,69,0
10,1527.0,59.0,77.0,37.0,99.9,36609.0,3.0,10.0,14,608,54,0
11,2351.0,117.0,7.0,70.0,19.9,58817.0,3.0,11.0,9,0,56,0
12,121.0,63.0,19.0,0.0,79.9,5587.0,3.0,1.0,10,0,-1,0
13,201.0,78.0,22.0,11.0,99.9,12736.0,3.0,9.0,4,0,-1,0
14,2323.0,78.0,50.0,71.0,129.9,46982.0,3.0,9.0,112,695,56,0
15,1384.0,116.0,78.0,2.0,21.9,34897.0,3.0,0.0,2,1,59,0
16,367.0,115.0,17.0,30.0,89.9,12587.0,3.0,8.0,3,69,57,0
17,2405.0,59.0,82.0,6.0,8.9,54011.0,3.0,9.0,13,5,51,0
18,2043.0,63.0,22.0,37.0,199.9,7823.0,3.0,7.0,1,621,61,0
19,145.0,114.0,22.0,2.0,21.9,20280.0,3.0,0.0,-1,487,58,0
20,206.0,69.0,85.0,24.0,59.9,7311.0,3.0,13.0,-1,29,69,0
21,21.0,115.0,85.0,13.0,39.9,3576.0,3.0,9.0,2,60,61,0
22,2716.0,107.0,50.0,47.0,99.95,47189.0,2.0,9.0,2,333,64,0
23,243.0,59.0,50.0,0.0,59.9,22869.0,3.0,12.0,4,498,47,0
24,665.0,74.0,22.0,23.0,39.9,12748.0,3.0,1.0,-1,502,56,0
25,1385.0,67.0,65.0,46.0,89.9,11576.0,3.0,9.0,1,586,73,0
26,1463.0,55.0,49.0,5.0,59.9,17444.0,3.0,9.0,85,422,54,0
27,68.0,114.0,12.0,4.0,59.9,3928.0,3.0,1.0,46,418,51,0
28,145.0,118.0,85.0,2.0,21.9,12127.0,3.0,13.0,19,457,55,0
29,164.0,63.0,78.0,46.0,89.9,413.0,3.0,7.0,3,181,65,0
30,2362.0,120.0,76.0,4.0,59.9,17131.0,3.0,9.0,2,712,52,0
31,337.0,69.0,17.0,39.0,99.9,16695.0,3.0,14.0,-1,0,46,0
32,1617.0,67.0,49.0,46.0,34.9,45124.0,3.0,6.0,1,24,-1,0
33,2742.0,117.0,80.0,151.0,0.0,51492.0,3.0,15.0,30,0,-1,0
34,238.0,117.0,17.0,28.0,7.9,31324.0,3.0,0.0,1,0,61,0
35,32.0,118.0,49.0,4.0,59.9,1339.0,3.0,1.0,-1,412,61,0
36,187.0,67.0,65.0,54.0,99.9,25056.0,4.0,1.0,-1,0,47,0
37,1521.0,109.0,15.0,27.0,79.9,35357.0,3.0,6.0,1,513,56,0
38,659.0,117.0,78.0,4.0,49.9,14570.0,3.0,15.0,2,459,57,0
39,1496.0,115.0,3.0,41.0,119.9,41651.0,2.0,1.0,-1,0,-1,0
40,1371.0,107.0,86.0,2.0,21.9,21284.0,3.0,3.0,2,696,56,0
41,2309.0,107.0,17.0,19.0,69.9,55733.0,3.0,1.0,39,0,56,0
42,2441.0,112.0,42.0,2.0,34.9,10651.0,3.0,6.0,2,739,58,0
43,1587.0,28.0,19.0,33.0,59.9,29290.0,3.0,9.0,3,543,55,0
44,1570.0,117.0,50.0,71.0,39.9,34201.0,3.0,7.0,3,0,49,0
45,2754.0,107.0,42.0,13.0,69.9,29030.0,3.0,7.0,2,753,54,0
